,product_name,sale_price,regular_price,category
3138,silver tone blue stone detail ... bangle bracelet set,14.4,24.0,bracelet
3139,silver tone chain detail blue ... drop pendant necklace,14.4,24.0,necklace
3140,1928 cross y necklace,16.5,22.0,necklace
3141,1928 porcelain rose filigree ... necklace,21.0,28.0,necklace
3142,1928® gold tone floral ... simulated pearl multistrand necklace,30.0,40.0,earring
3143,simply vera vera wang purple ... simulated crystal drop earrings,8.4,14.0,earring
3144,downton abbey® gold tone ... simulated crystal & filigree scroll drop earrings,19.5,26.0,earring
3145,downton abbey® jet simulated ... crystal drop earrings,26.25,35.0,earring
3146,downton abbey® vine y ... necklace,18.75,25.0,necklace
3147,crystal allure bib necklace & ... teardrop earring set,96.0,160.0,earring
3148,1928 purple porcelain rose ... drop earrings,15.0,20.0,earring
3149,1928 white porcelain rose stud ... earrings,11.25,15.0,earring
3150,downtown abbey simulated ... crystal y necklace,18.75,25.0,necklace
3151,downtown abbey simulated ... crystal & simulated pearl drop earrings,15.0,20.0,earring
3152,downton abbey simulated ... crystal teardrop earrings,15.0,20.0,earring
3153,downton abbey simulated ... crystal drop earrings,18.75,25.0,earring
3154,1928 simulated crystal rose ... button earrings,24.0,32.0,earring
3155,1928 gold tone textured oval ... earrings,15.0,20.0,earring
3156,napier blue simulated stone ... coil bracelet,14.4,24.0,bracelet
3157,crystal allure drop earrings,18.0,30.0,earring
3158,1928 faceted teardrop ... earrings,16.5,22.0,earring
3159,napier butterfly clip-on stud ... earrings,9.6,16.0,earring
3160,jennifer lopez textured triple ... hoop earrings,14.0,20.0,earring
3161,1928 rose simulated pearl ... teardrop necklace,22.5,30.0,earring
3162,1928 simulated crystal double ... strand toggle bracelet,18.0,24.0,bracelet
3163,1928 simulated crystal multi ... row stretch bracelet,21.0,28.0,bracelet
3164,1928 crystal gold-tone double ... drop necklace,22.5,30.0,necklace
3165,1928 pave crystal double drop ... earrings,21.0,28.0,earring
3166,1928 popcorn beaded stretch ... bracelet,21.0,28.0,bracelet
3167,1928 silver tone crystal ... flower filigree bracelet,28.5,38.0,bracelet
3168,1928 porcelain rose filigree ... drop earrings,16.5,22.0,earring
3169,downton abbey® linear drop ... earrings,26.25,35.0,earring
3170,downtown abbey simulated pearl ... & crystal necklace,15.0,20.0,earring
3171,1928 green simulated crystal ... stretch bracelet,18.0,24.0,bracelet
3172,downtown abbey purple ... simulated crystal drop earrings,22.5,30.0,earring
3173,1928 flower & bead multirow ... stretch bracelet,18.0,24.0,bracelet
3174,1928 geometric faceted stone y ... necklace,18.0,24.0,necklace
3175,downton abbey drop earrings,22.5,30.0,earring
3176,simply vera vera wang ... simulated pearl & fireball stretch bracelet set,15.6,26.0,earring
3177,napier multi colored bead ... multi row bracelet,16.8,28.0,bracelet
3178,simply vera vera wang ... simulated crystal ball drop earrings,10.8,18.0,earring
3179,1928 simulated crystal ... filigree oval stud earrings,15.0,20.0,earring
3180,1928 simulated crystal cluster ... openwork teardrop earrings,18.0,24.0,earring
3181,napier two tone milgrain hoop ... earrings,10.8,18.0,earring
3182,1928 crystal round pendant ... necklace,18.0,24.0,necklace
3183,1928 blue round & teardrop ... station stretch bracelet,24.0,32.0,earring
3184,simply vera vera wang teal ... hoop earrings,9.6,16.0,earring
3185,downton abbey drop earrings,26.25,35.0,earring
3186,simply vera vera wang ... simulated crystal flower stud earrings,9.6,16.0,earring
3187,1928 floating crystal teardrop ... earrings,27.0,36.0,earring
3188,downton abbey® flower stud ... earrings,18.75,25.0,earring
3189,downton abbey® openwork pin,26.25,35.0,pin
3190,dana buchman brown geometric ... link stretch bracelet,22.4,32.0,bracelet
3191,napier textured hoop clip-on ... earrings,9.6,16.0,earring
3192,downtown abbey hematite ... pendant necklace,15.0,20.0,necklace
3193,downton abbey simulated ... crystal linear drop earrings,26.25,35.0,earring
3194,1928 teardrop earrings,15.0,20.0,earring
3195,simply vera vera wang ... simulated pearl & crystal double strand necklace,20.4,34.0,earring
3196,1928 rose stud earrings,13.5,18.0,earring
3197,1928 gold tone filigree heart ... necklace,15.0,20.0,earring
3198,downton abbey® necklace,26.25,35.0,necklace
3199,downton abbey simulated ... crystal linear drop earrings,18.75,25.0,earring
3200,1928 simulated crystal flower ... drop earrings,10.5,14.0,earring
3201,gold tone hammered disc detail ... organic statement necklace,19.6,28.0,necklace
3202,dana buchman interlocking ... graduated hoop drop earrings,11.2,16.0,earring
3203,1928 black medallion nickel ... free drop earrings,21.0,28.0,earring
3204,1928 blue stone cluster ... teardrop earrings,16.5,22.0,earring
3205,simply vera vera wang gold ... tone oval hoop earrings,10.8,18.0,earring
3206,1928 simulated crystal & bead ... teardrop earrings,12.0,16.0,earring
3207,1928 silver tone simulated ... crystal filigree hoop drop earrings,13.5,18.0,earring
3208,downton abbey® jet openwork y ... necklace,22.5,30.0,necklace
3209,dana buchman j hoop clip on ... earrings,11.2,16.0,earring
3210,1928 filigree flower stretch ... bracelet,33.75,45.0,bracelet
3211,1928 porcelain rose teardrop ... pendant,19.5,26.0,earring
3212,1928 purple porcelain rose ... stud earrings,11.25,15.0,earring
3213,dana buchman marquise faceted ... stone stretch bracelet,21.0,30.0,bracelet
3214,1928 silver tone rose hinge ... bracelet,28.5,38.0,bracelet
3215,downtown abbey simulated ... crystal drop earrings,18.75,25.0,earring
3216,1928 rectangle halo pendant ... necklace,16.5,22.0,necklace
3217,1928 cameo drop earrings,15.0,20.0,earring
3218,multi colored ombre teardrop ... earrings,8.99,18.0,earring
3219,dana buchman silver tone disc ... stretch bracelet,19.6,28.0,bracelet
3220,dana buchman silver tone & ... hematite tone link hoop drop earrings,11.2,16.0,earring
3221,gold tone hammered organic ... orbital hoop earrings,12.6,18.0,earring
3222,1928 simulated crystal ... teardrop earrings,13.5,18.0,earring
3223,1928 long round faceted stone ... necklace,22.5,30.0,necklace
3224,1928 pink rose necklace,18.0,24.0,necklace
3225,1928 rose cluster simulated ... pearl drop earrings,24.0,32.0,earring
3226,1928 crystal textured oval ... link toggle bracelet,21.0,28.0,bracelet
3227,1928 floral filigree link ... necklace,13.5,18.0,necklace
3228,1928 porcelain rose pendant,18.0,24.0,other
3229,1928 cameo pin,21.0,28.0,pin
3230,simulated stone marquise ... hinged cuff bracelet,13.0,26.0,bracelet
3231,napier silver tone drop hoop ... earrings,10.8,18.0,earring
3232,napier bead link stretch ... bracelet,16.8,28.0,bracelet
3233,dana buchman silver tone ... double bangle bracelet,16.8,24.0,bracelet
3234,1928 crystal gold-tone drop ... earrings,19.5,26.0,earring
3235,1928 14k gold-plated crystal & ... simulated pearl crucifix pendant necklace,21.0,28.0,earring
3236,1928 knot multistrand y ... necklace,22.5,30.0,necklace
3237,1928 porcelain rose cluster ... stud earrings,18.0,24.0,earring
3238,1928 faceted stone drop ... earrings,12.0,16.0,earring
3239,two tone disc multi strand ... necklace,15.0,30.0,necklace
3240,gold tone disc long y ... necklace,13.0,26.0,necklace
3241,napier gold tone pink & red ... simulated stone coil bracelet,14.4,24.0,bracelet
3242,1928 tassel y necklace,24.0,32.0,necklace
3243,glittery filigree teardrop ... pendant necklace,9.9,22.0,earring
3244,crystal allure bib necklace & ... stud earring set,96.0,160.0,earring
3245,crystal allure necklace & stud ... earring set,66.0,110.0,earring
3246,crystal allure silver-plated ... necklace & drop earring set,75.0,125.0,earring
3247,napier red bead & simulated ... pearl statement necklace,16.8,28.0,earring
3248,napier jet tone cluster bead ... collar necklace,19.2,32.0,necklace
3249,dana buchman gold tone ... swarovski crystal marquise hoop earrings,15.4,22.0,earring
3250,lc lauren conrad simulated ... crystal burst pendant necklace,9.8,14.0,necklace
3251,crystal avenue circle kite ... earrings,36.0,60.0,earring
3252,1928 14k gold-plated crystal ... pendant necklace,16.5,22.0,necklace
3253,1928 simulated pearl cross ... pendant necklace,19.5,26.0,earring
3254,simply vera vera wang bar drop ... earrings,9.6,16.0,earring
3255,1928 crystal rectangle drop ... earrings,28.5,38.0,earring
3256,crystal allure bib necklace & ... drop earring set,60.0,100.0,earring
3257,1928 flower y necklace,28.5,38.0,necklace
3258,downton abbey teardrop earring ... set,30.0,40.0,earring
3259,jennifer lopez rose gold tone ... simulated stone drop hoop earrings,12.6,18.0,earring
3260,dana buchman silver tone & ... hematite tone drop hoop earrings,9.8,14.0,earring
3261,1928 crystal overlapping ... circle bangle bracelet,28.5,38.0,bracelet
3262,simply vera vera wang textured ... nickel free oval hoop earrings,10.8,18.0,earring
3263,simply vera vera wang shaky ... bead double strand necklace,18.0,30.0,necklace
3264,crystal allure multirow bow ... stretch bracelet,45.0,75.0,bracelet
3265,crystal allure multirow ... stretch bracelet,33.0,55.0,bracelet
3266,napier drop hoop earrings,9.6,16.0,earring
3267,simply vera vera wang ... simulated stone navette drop earrings,16.8,28.0,earring
3268,dana buchman silver tone hinge ... bracelet,19.6,28.0,bracelet
3269,1928 filigree crystal teardrop ... necklace,31.5,42.0,earring
