,product_name,price
140,bp. saddle bag,49.0
141,saint laurent toy loulou calfskin leather crossbody bag,1190.0
142,fjällräven räven 20l backpack,90.0
143,tory burch mcgraw croc embossed leather crossbody bag,428.0
144,tory burch chelsea leather crossbody bag,358.0
145,marc jacobs the grind boho leather shoulder bag,395.0
146,kate spade new york bright idea drop earrings,48.0
147,burberry heritage giant check fringed cashmere muffler,430.0
148,halogen® solid cashmere infinity scarf,99.0
149,tory burch small robinson leather tote,298.0
150,burberry medium banner house check leather tote,1590.0
151,kendra scott rayne stone tassel pendant necklace,82.5
152,bony levy birthstone pendant necklace (nordstrom exclusive),450.0
153,halogen® wool blend beret,29.0
154,monica vinader 'riva' diamond hoop ring,3.0
155,vince camuto key leather crossbody bag (nordstrom exclusive),158.0
156,nordstrom pavé round stud earrings,98.0
157,patagonia 'fisherman' beanie,29.0
158,saint laurent 'shopping' leather tote,995.0
159,longchamp 'large le pliage neo' nylon tote,190.0
160,burberry small macken colorblock leather crossbody bag,1250.0
161,kate spade new york crystal hinge bangle,48.0
162,kate spade new york reese park – wyn quilted leather crossbody,278.0
163,sole society zeda faux leather tote,49.95
164,kate spade new york do the twist pavé bangle,68.0
165,kate spade new york jackson street - harlyn leather crossbody bag,258.0
166,tory burch mcgraw slouchy leather satchel,478.0
167,halogen® rib knit cashmere gloves,49.0
168,bp. colorblock eyelash yarn scarf,24.0
169,tory burch small fleming leather convertible shoulder bag,458.0
170,madewell the simple leather crossbody bag,98.0
171,gorjana g ring hoops,60.0
172,nordstrom cashmere & silk wrap,99.0
173,tory burch chelsea leather crossbody bag,358.0
174,gorjana power gemstone beaded bracelet,38.0
175,fitbit versa smart watch,199.95
176,quay australia x desi perkins high key 62mm aviator sunglasses,65.0
177,kendra scott elaina birthstone bracelet,55.0
178,halogen® small endless hoop earrings,19.0
179,"david yurman cable classic buckle bracelet with 18k gold, 5mm",495.0
180,tory burch mcgraw leather crossbody tote,378.0
181,tory burch mcgraw leather crossbody bag,398.0
182,rebecca minkoff slim regan hobo bag,325.0
183,cam jewelry ascending zodiac medallion necklace,55.0
184,kendra scott tessa stone stud earrings,57.5
185,david yurman 'albion' petite ring with semiprecious stone & diamonds,5.5
186,saint laurent large cassandra calfskin shoulder bag,2590.0
187,kate spade new york cameron street - ivey leather card case,88.0
188,tory burch robinson convertible leather shoulder bag,398.0
189,tory burch fleming leather convertible shoulder bag,498.0
190,longchamp le pliage club medium shoulder tote,140.0
191,tory burch circle logo stud earrings,78.0
192,tory burch robinson leather tote,348.0
193,gucci small gg marmont 2.0 matelassé leather shoulder bag,1980.0
194,eliza j faux fur capelet,98.0
195,kendra scott ott friendship bracelet,70.0
196,rebecca minkoff 'chevron quilted love' crossbody bag,295.0
197,rebecca minkoff small darren leather feed bag,245.0
198,kate spade new york 'cameron street - lacey' leather wallet,188.0
199,kate spade new york mini small square semiprecious stone stud earrings,38.0
200,halogen® cashmere fingerless gloves,45.0
201,gorjana amara pendant necklace,48.0
202,gucci mini gg marmont 2.0 matelassé leather shoulder bag,1790.0
203,gucci gg marmont matelassé leather card case,250.0
204,gorjana power gemstone beaded bracelet,48.0
205,madewell multi stripe scarf,65.0
206,kate spade new york mini small square semiprecious stone stud earrings,38.0
207,nadri initial pendant necklace,45.0
208,kate spade new york cameron street - eliza leather wallet,110.0
209,givenchy 'medium antigona' sugar leather satchel,2450.0
210,burberry small 1983 check envelope card case,260.0
211,gorjana taner bar small necklace,60.0
212,kate spade one in a million initial pendant necklace,48.0
213,kate spade new york cameron street - small hayden leather satchel,298.0
214,gucci dionysus gg supreme canvas wallet on a chain,1250.0
215,sole society mason weekend bag,79.95
216,marcie small double carry bag,1750.0
217,tory burch robinson leather wallet on a chain,298.0
218,bp. 'heritage' plaid infinity scarf,24.0
219,quay australia x desi perkins high key mini 57mm aviator sunglasses,65.0
220,tory burch mcgraw leather continental zip wallet,198.0
221,treasure & bond felt panama hat,39.0
222,kate spade new york leather iphone crossbody bag,100.0
223,ted baker london pebbled leather matinée wallet,149.0
224,madewell the simple pouch leather belt bag,68.0
225,burberry hampshire vintage check crossbody bag,790.0
226,burberry large square leather shoulder bag,1850.0
227,tory burch robinson leather card case,98.0
228,"david yurman cable classics bracelet with 14k gold, 5mm",495.0
229,madewell medium perfect leather belt,45.0
230,rebecca minkoff mini julian nubuck leather convertible backpack,225.0
231,tory burch mini robinson convertible leather shoulder bag,298.0
232,zella tech running gloves,25.0
233,david yurman 'châtelaine' pendant necklace,350.0
234,moncler cable knit beanie with genuine fox fur pom,450.0
235,rebecca minkoff micro regan leather satchel,245.0
236,saint laurent quilted calfskin leather wallet on a chain,1350.0
237,tory burch robinson saffiano leather continental wallet,178.0
238,the north face reversible merino wool beanie,45.0
239,chelsea28 leigh convertible zipper faux leather tote,79.0
240,calpak ambeur 2-piece spinner luggage set,285.0
241,rebecca minkoff darren deerskin leather shoulder bag,325.0
242,saint laurent small kate chain crossbody bag,1750.0
243,kendra scott phillipa bracelet,65.0
244,free people river locks pom beanie,38.0
245,treasure & bond print square silk scarf,35.0
246,madewell medium canvas transport tote,78.0
247,longchamp 'le pliage' pouchette,55.0
248,tory burch ella nylon tote,198.0
249,marc jacobs snapshot crossbody bag,295.0
250,beis travel luggage tag & passport holder set,25.0
251,bose® noise masking sleepbuds,249.0
252,rebecca minkoff stella leather tote,198.0
253,treasure & bond mason water resistant belt bag,49.0
254,ugg® all weather touchscreen compatible quilted gloves with genuine shearling trim,75.0
255,david yurman 'oval' link bracelet,350.0
