Madewell Small Transport Leather Crossbody,$128.00
Topshop Heavy Brushed Scarf,$35.00
Rebecca Minkoff 'Micro Regan' Satchel,$225.00
BP. Two Tone Herringbone Scarf,$29.00
Nordstrom Lambskin Leather Gloves,$79.00
Tory Burch Perry Leather Tote,$348.00
Leith Menswear Plaid Oblong Scarf,$24.00
CALPAK 5-Piece Packing Cube Set,$48.00 – $70.00
Bose® QuietComfort® 35 Wireless Headphones II with Google Assistant,$349.00
Burberry Medium Belt Bag Leather Tote,"$2,290.00"
Treasure & Bond Print Wrap,$39.00
MantraBand® 'Soul Sister' Cuff,$25.00 – $35.00
Gucci Medium Turnaround Reversible Leather Tote,"$1,250.00"
Rebecca Minkoff Avery Crossbody Bag,$195.00
BP. Buffalo Plaid Cape,$45.00
kate spade new york jackson street - gabriele leather crossbody bag,$178.00
Clare V. Midi Sac Python Embossed Leather Crossbody Bag,$325.00
Botkier Cobble Hill Calfskin Leather Crossbody Bag,$198.00
Tory Burch Small Robinson Leather Tote,$298.00
Halogen Cashmere Poncho,$149.00
Ted Baker London Hilaryy Crosshatch Faux Leather Top Handle Satchel,$169.00
Alex and Ani Harry Potter™ Glasses Wrap Ring,$38.00
Longchamp 'Le Pliage' Backpack,$125.00
Topshop Sela Crossbody Bag,$48.00
kate spade new york pavé small square stud earrings,$44.00
BP. Colorblock Oblong Scarf,$29.00
Chloé 'Medium Marcie' Leather Satchel,"$1,990.00"
Longchamp Le Pliage 21-Inch Expandable Travel Bag,$255.00
Burberry Leather Shoulder Bag,"$1,895.00"
David Yurman 'X Crossover' Ring,$295.00
Tory Burch Chelsea Leather Wristlet Wallet,$198.00
BaubleBar Amber Layered Chain Y-Necklace,$48.00
Gucci Petite Marmont Leather Wallet on a Chain,$895.00
David Yurman Renaissance Bracelet with 18K Gold,$450.00
kate spade new york small square pavé pendant necklace,$44.00
kate spade new york bright idea stud earrings,$38.00
Nordstrom Cashmere Ruffle Wrap,$169.00
BP. Saddle Bag,$49.00
Saint Laurent Toy Loulou Calfskin Leather Crossbody Bag,"$1,190.00"
Fjällräven Räven 20L Backpack,$90.00
Tory Burch McGraw Croc Embossed Leather Crossbody Bag,$428.00
Tory Burch Chelsea Leather Crossbody Bag,$358.00
MARC JACOBS The Grind Boho Leather Shoulder Bag,$395.00
kate spade new york bright idea drop earrings,$48.00
Burberry Heritage Giant Check Fringed Cashmere Muffler,$430.00
Halogen® Solid Cashmere Infinity Scarf,$99.00
Tory Burch Small Robinson Leather Tote,$298.00
Burberry Medium Banner House Check Leather Tote,"$1,590.00"
Kendra Scott Rayne Stone Tassel Pendant Necklace,$80.00 – $85.00
Bony Levy Birthstone Pendant Necklace (Nordstrom Exclusive),$450.00
Halogen® Wool Blend Beret,$29.00
Monica Vinader 'Riva' Diamond Hoop Ring,$195.00 – $250.00
Vince Camuto Key Leather Crossbody Bag (Nordstrom Exclusive),$158.00
Nordstrom Pavé Round Stud Earrings,$98.00
Patagonia 'Fisherman' Beanie,$29.00
Saint Laurent 'Shopping' Leather Tote,$995.00
Longchamp 'Large Le Pliage Neo' Nylon Tote,$190.00
Burberry Small Macken Colorblock Leather Crossbody Bag,"$1,250.00"
kate spade new york crystal hinge bangle,$48.00
kate spade new york reese park – wyn quilted leather crossbody,$278.00
Sole Society Zeda Faux Leather Tote,$49.95
kate spade new york do the twist pavé bangle,$68.00
kate spade new york jackson street - harlyn leather crossbody bag,$258.00
Tory Burch McGraw Slouchy Leather Satchel,$478.00
Halogen® Rib Knit Cashmere Gloves,$49.00
BP. Colorblock Eyelash Yarn Scarf,$24.00
Tory Burch Small Fleming Leather Convertible Shoulder Bag,$458.00
Madewell The Simple Leather Crossbody Bag,$98.00
gorjana G Ring Hoops,$60.00
Nordstrom Cashmere & Silk Wrap,$99.00
Tory Burch Chelsea Leather Crossbody Bag,$358.00
gorjana Power Gemstone Beaded Bracelet,$38.00
Fitbit Versa Smart Watch,$199.95
Quay Australia x Desi Perkins High Key 62mm Aviator Sunglasses,$65.00
Kendra Scott Elaina Birthstone Bracelet,$50.00 – $60.00
Halogen® Small Endless Hoop Earrings,$19.00
"David Yurman Cable Classic Buckle Bracelet with 18K Gold, 5mm",$495.00
Tory Burch McGraw Leather Crossbody Tote,$378.00
